,image name,point type,point #,x,y
152,PreMap/xeno photos/IMG_2890.JPG,fin,1,387,268
153,PreMap/xeno photos/IMG_2890.JPG,fin,2,409,332
154,PreMap/xeno photos/IMG_2890.JPG,fin,3,343,342
211,PreMap/xeno photos/IMG_2906.JPG,fin,1,515,213
212,PreMap/xeno photos/IMG_2906.JPG,fin,2,536,306
213,PreMap/xeno photos/IMG_2906.JPG,fin,3,438,316
204,PreMap/xeno photos/IMG_4768.JPG,fin,1,486,232
205,PreMap/xeno photos/IMG_4768.JPG,fin,2,504,310
206,PreMap/xeno photos/IMG_4768.JPG,fin,3,431,317
232,PreMap/xeno photos/IMG_4829.JPG,fin,1,481,274
233,PreMap/xeno photos/IMG_4829.JPG,fin,2,473,330
234,PreMap/xeno photos/IMG_4829.JPG,fin,3,404,338
129,PreMap/xeno photos/IMG_4846.JPG,fin,1,543,238
130,PreMap/xeno photos/IMG_4846.JPG,fin,2,543,389
131,PreMap/xeno photos/IMG_4846.JPG,fin,3,359,377
250,PreMap/xeno photos/IMG_6346.JPG,fin,1,506,249
251,PreMap/xeno photos/IMG_6346.JPG,fin,2,503,294
252,PreMap/xeno photos/IMG_6346.JPG,fin,3,459,294
214,PreMap/xeno photos/IMG_7738.JPG,fin,1,353,266
215,PreMap/xeno photos/IMG_7738.JPG,fin,2,341,329
216,PreMap/xeno photos/IMG_7738.JPG,fin,3,259,336
144,PreMap/xeno photos/IMG_7742.JPG,fin,1,417,309
145,PreMap/xeno photos/IMG_7742.JPG,fin,2,419,358
146,PreMap/xeno photos/IMG_7742.JPG,fin,3,360,381
304,PreMap/xeno photos/IMG_7762.JPG,fin,1,609,205
305,PreMap/xeno photos/IMG_7762.JPG,fin,2,588,313
306,PreMap/xeno photos/IMG_7762.JPG,fin,3,430,318
259,PreMap/xeno photos/IMG_8022.JPG,fin,1,299,341
260,PreMap/xeno photos/IMG_8022.JPG,fin,2,316,439
261,PreMap/xeno photos/IMG_8022.JPG,fin,3,179,456
161,PreMap/xeno photos/IMG_8416.JPG,fin,1,467,236
162,PreMap/xeno photos/IMG_8416.JPG,fin,2,470,329
163,PreMap/xeno photos/IMG_8416.JPG,fin,3,350,352
111,PreMap/xeno photos/IMG_8460.JPG,fin,1,337,290
112,PreMap/xeno photos/IMG_8460.JPG,fin,2,329,386
113,PreMap/xeno photos/IMG_8460.JPG,fin,3,176,391
274,PreMap/xeno photos/IMG_8643.JPG,fin,1,570,231
275,PreMap/xeno photos/IMG_8643.JPG,fin,2,560,319
276,PreMap/xeno photos/IMG_8643.JPG,fin,3,439,323
0,PreMap/xeno photos/IMG_8460.JPG,xeno,1,329,291
4,PreMap/xeno photos/IMG_2561.JPG,xeno,1,648,265
5,PreMap/xeno photos/IMG_2561.JPG,xeno,2,651,262
6,PreMap/xeno photos/IMG_2212.JPG,xeno,1,495,319
7,PreMap/xeno photos/IMG_2212.JPG,xeno,2,493,315
8,PreMap/xeno photos/IMG_1692.JPG,xeno,1,434,91
9,PreMap/xeno photos/IMG_1692.JPG,xeno,2,440,77
10,PreMap/xeno photos/IMG_2358.JPG,xeno,1,549,312
11,PreMap/xeno photos/IMG_4846.JPG,xeno,1,538,249
12,PreMap/xeno photos/IMG_4846.JPG,xeno,2,534,244
13,PreMap/xeno photos/IMG_1080.JPG,xeno,1,544,252
20,PreMap/xeno photos/IMG_7742.JPG,xeno,1,407,314
21,PreMap/xeno photos/IMG_7742.JPG,xeno,2,411,311
22,PreMap/xeno photos/IMG_2571.JPG,xeno,1,521,243
23,PreMap/xeno photos/IMG_2890.JPG,xeno,1,390,311
24,PreMap/xeno photos/IMG_2270.JPG,xeno,1,458,308
25,PreMap/xeno photos/IMG_2270.JPG,xeno,2,454,305
26,PreMap/xeno photos/IMG_1988.JPG,xeno,1,456,378
27,PreMap/xeno photos/IMG_8416.JPG,xeno,1,460,241
30,PreMap/xeno photos/IMG_2312.JPG,xeno,1,562,271
31,PreMap/xeno photos/IMG_2312.JPG,xeno,2,563,277
32,PreMap/xeno photos/IMG_2276.JPG,xeno,1,459,227
33,PreMap/xeno photos/IMG_2276.JPG,xeno,2,461,230
34,PreMap/xeno photos/IMG_0460.JPG,xeno,1,476,334
36,PreMap/xeno photos/IMG_2303.JPG,xeno,1,620,305
39,PreMap/xeno photos/IMG_2513.JPG,xeno,1,575,179
40,PreMap/xeno photos/IMG_2566 copy.JPG,xeno,1,521,164
41,PreMap/xeno photos/IMG_2466.JPG,xeno,1,476,173
51,PreMap/xeno photos/IMG_4768.JPG,xeno,1,483,240
52,PreMap/xeno photos/IMG_4768.JPG,xeno,2,480,247
54,PreMap/xeno photos/IMG_2906.JPG,xeno,1,506,215
55,PreMap/xeno photos/IMG_7738.JPG,xeno,1,346,269
56,PreMap/xeno photos/IMG_7738.JPG,xeno,2,343,277
60,PreMap/xeno photos/IMG_2521.JPG,xeno,1,751,270
61,PreMap/xeno photos/IMG_1148.JPG,xeno,1,494,331
62,PreMap/xeno photos/IMG_2337.JPG,xeno,1,522,362
63,PreMap/xeno photos/IMG_2337.JPG,xeno,2,523,358
64,PreMap/xeno photos/IMG_2337.JPG,xeno,3,523,356
67,PreMap/xeno photos/IMG_4829.JPG,xeno,1,470,283
68,PreMap/xeno photos/IMG_2519.JPG,xeno,1,661,249
75,PreMap/xeno photos/IMG_2256.JPG,xeno,1,425,256
76,PreMap/xeno photos/IMG_2256.JPG,xeno,2,425,254
77,PreMap/xeno photos/IMG_2256.JPG,xeno,3,429,251
78,PreMap/xeno photos/IMG_6346.JPG,xeno,1,498,258
79,PreMap/xeno photos/IMG_6346.JPG,xeno,2,501,252
82,PreMap/xeno photos/IMG_1012.JPG,xeno,1,499,266
83,PreMap/xeno photos/IMG_1012.JPG,xeno,2,502,262
84,PreMap/xeno photos/IMG_8022.JPG,xeno,1,292,347
85,PreMap/xeno photos/IMG_2269.JPG,xeno,1,679,303
86,PreMap/xeno photos/IMG_2269.JPG,xeno,2,683,302
87,PreMap/xeno photos/IMG_2269.JPG,xeno,3,674,308
94,PreMap/xeno photos/IMG_8643.JPG,xeno,1,564,233
95,PreMap/xeno photos/IMG_2635 (1).JPG,xeno,1,729,242
98,PreMap/xeno photos/IMG_2354.JPG,xeno,1,591,228
100,PreMap/xeno photos/IMG_2427.JPG,xeno,1,373,155
101,PreMap/xeno photos/IMG_2545.JPG,xeno,1,535,192
102,PreMap/xeno photos/IMG_2430.JPG,xeno,1,396,186
106,PreMap/xeno photos/IMG_7762.JPG,xeno,1,598,203
107,PreMap/xeno photos/IMG_7762.JPG,xeno,2,584,220
307,need coding or recoding/IMG_4851.JPG,xeno,1,399,249
308,need coding or recoding/IMG_4851.JPG,xeno,2,399,254
309,need coding or recoding/IMG_7913.JPG,xeno,1,442,243
310,need coding or recoding/IMG_7913.JPG,xeno,2,442,251
311,need coding or recoding/IMG_8387.JPG,xeno,1,682,213
312,need coding or recoding/IMG_8387.JPG,xeno,2,674,218
313,need coding or recoding/IMG_8387.JPG,xeno,3,679,230
314,need coding or recoding/IMG_8387.JPG,xeno,4,681,222
315,need coding or recoding/IMG_1994.JPG,xeno,1,497,136
316,need coding or recoding/IMG_8386.JPG,xeno,1,323,229
317,need coding or recoding/IMG_8386.JPG,xeno,2,329,232
318,need coding or recoding/IMG_8386.JPG,xeno,3,317,226
320,need coding or recoding/IMG_2257.JPG,xeno,2,395,310
321,need coding or recoding/IMG_2257.JPG,xeno,3,395,302
322,need coding or recoding/IMG_2257.JPG,xeno,4,398,294
323,need coding or recoding/IMG_2309.JPG,xeno,1,473,257
324,need coding or recoding/IMG_2309.JPG,xeno,2,479,257
325,need coding or recoding/2021 photos/IMG_3558.JPG,xeno,1,568,170
327,need coding or recoding/2021 photos/IMG_3885.JPG,xeno,2,546,296
328,need coding or recoding/2021 photos/IMG_3711.JPG,xeno,1,210,349
329,need coding or recoding/2021 photos/IMG_3711.JPG,xeno,2,210,345
330,need coding or recoding/2021 photos/IMG_3538.JPG,xeno,1,542,210
331,need coding or recoding/2021 photos/IMG_3538.JPG,xeno,2,540,216
332,need coding or recoding/2021 photos/IMG_3538.JPG,xeno,3,533,213
